conversation,customer_sentiment
"hi, i'm calling because i have an issue with my recent order. i purchased an air cooler from brownbox, but i haven't received the refund in my bank account yet. i returned it on august 1st, 2021. yes, the bank account details i provided were correct. yes, please do that. i need the refund urgently. no, that's all. thank you for your help. thank you, you too. goodbye.",negative
"hi, i received an email from brownbox stating that i need to ship the washing machine i purchased back to you. can you tell me why? oh, i see. i would like a replacement. okay, that sounds fair. can you tell me how to package the washing machine? okay, got it. and where do i drop off the package? alright, i'll do that. thank you for your help, sarah. thank you, sarah. goodbye!",neutral
"hi rachel. i recently ordered a water geyser from your website, but i noticed that i didn't qualify for free delivery. can you help me understand why that is? oh, i see. is there anything i can do to qualify for free delivery? okay, i understand. is there any way to reduce the delivery charges? no, that's alright. i'll just pay for the delivery charges for this order. can you tell me how much it will cost? no, that's all. thank you for your help, rachel. you too. goodbye!",neutral
"hi sarah, i recently purchased a sandwich maker from your website, but i would like to return it. can you help me with that? the sandwich maker did not meet my expectations, and i would like to return it for a refund. yes, i understand. please proceed with the return process. okay, got it. how long will it take for me to receive my refund? no, that's all. thank you for your help, sarah. thanks, you too. bye.",neutral
"hi david, i recently ordered an inverter from your website, and i want to know the delivery method and process. sure, it's #987654321. okay, but can you tell me the estimated delivery date? okay, that's fine. but i need it urgently. can you expedite the delivery? okay, please check. okay, i understand. can you provide me with the courier details? okay, thank you for your help. no, that's all. thank you again for your help.",neutral
"hi alex, i'm calling to check the status of my order for a juicer/mixer/grinder. it's been more than a week, and i haven't received it yet. my order number is 987654 and i purchased it on the 10th of this month. but it's been more than a week. i need it urgently. can you please tell me when i can expect the delivery? okay, that's better. but i'm still frustrated with the delay. is there anything else you can do to help me? that's very kind of you. thank you. no, that's all. thank you for your assistance.",negative
"hi, i'm looking to place an order for a microwave oven on your website. i want to buy the lg 1.5 cu. ft. countertop microwave oven. my name is emily, and my email address is emily.brown@gmail.com. okay, i found the product and added it to my cart. what's next? alright, i reviewed my order and clicked on the ""checkout"" button. what do i do now? okay, i provided all the necessary information and clicked on the ""place order"" button. what happens next? that's great! thank you so much for your help. no, that's all. thanks again! you too. goodbye!",positive
"hi, i'm having trouble receiving the otp for my baby food order. i've tried multiple times, but i'm not getting any code. i used my email address, john.doe@gmail.com, and my phone number, +1  456-7890. i have checked my spam folder, but i didn't find anything. okay, i'll hold. yes, i have tried multiple times, but i'm not getting any code. okay, i'll hold. i used my credit card. okay, i'll hold. sure, my email address is john.doe@gmail.com, and my phone number is +1  456-7890. okay, i'll check. yes, i've received the code. the code is 123456. no, that's all. thank you for your help. thank you, you too. goodbye!",negative
"hi john, i recently received a replacement oven toaster grill  from brownbox, but it's not working correctly. i want to claim warranty on it. can you help me with that? sure, it's 987654. the heating element of the otg is not working correctly, and it's not heating up the food. sure, i'll do that. where should i send the pictures? okay, i'll send the pictures right away. okay, i understand. is there anything else i need to do? okay, thank you for your help. you too. goodbye.",neutral
"hi sarah, i want to add a new delivery address to my account for baby food. yes, i want to add my sister's address as well. she lives in a different city. sure, the address is 123 main street, anytown, usa. sure, my date of birth is 01/01/1990, and the last four digits of my social security number are 1234. actually, can you also change the default delivery address to the new one? i want all my baby food deliveries to go to my sister's address. no, that's all for now. thank you for your help, sarah. you too. goodbye.",neutral
"hi alex, i recently ordered a pair of sunglasses from your website, and i was wondering if you could help me with the delivery process. yes, my order number is 654321. not really, i just want to ensure that the sunglasses arrive in good condition. can you tell me more about the delivery process? that sounds great. thank you for explaining that to me. is there anything else i should know about the delivery process? alright, thank you for your assistance, alex. you too. goodbye.",neutral
"hi sarah. i placed an order for a food processor that i need to be shipped internationally, but i am not sure about the availability and status of the product. sure, it's 123456. two weeks? that's too long. i need it urgently. can you expedite the shipping process? okay, please do that. no, i only want that specific food processor. can you cancel my order and refund my money? that's fine. please go ahead and cancel the order. no, that's all. i am just disappointed that i couldn't get the product i wanted. okay, thank you.",negative
"hi mark, i recently ordered a smart band from your website, but i'm unable to click the 'cancel' button. can you help me with that? sure, it's #123456. okay, i understand that. can you guide me through the return process? i received the wrong product. i received a different product than what i ordered. okay, i'll do that. do i need to pay for the return shipping? that's great. thank you for your help. no, that's all for now. thank you. thank you. you too. goodbye!",neutral
"hi alex, i'm having trouble logging into my account. every time i try to enter the verification code for my sweatshirt order, i get an error message saying that i've exceeded the number of attempts. can you help me with that? my name is john, and the email address associated with my account is john123@gmail.com. yes, my mobile number is 9876543210, and the email address that i used during the account registration process is john456@gmail.com. yes, the error message says ""you have exceeded the maximum number of attempts to enter the correct verification code. please try again later."" okay, let me check. i've received the email. i'm following the instructions to reset my password now. okay, i've reset my password and tried logging in again. unfortunately, i'm still getting the same error message. sure, my order number is 1234567890, and the email address associated with that order is john123@gmail.com. no, that's all for now. thanks for your help, alex. you too, alex. goodbye!",neutral
"hi john, i want to cancel an order for a dishwasher that i placed yesterday. can you help me with that? yes, it's #987654321. okay, that's fine. can you confirm if the order has been cancelled? no, that's all. thank you for your help.",neutral
"hi alex, i recently ordered an oven toaster grill from your website, and i want to know if there are any exchange offers available for it. sure, the order number is 789012, and the email address is john@email.com. what? that's ridiculous. i saw an ad on your website that said i could get a discount through an exchange offer. i don't remember the exact details, but it said that i could get a discount on the oven toaster grill if i exchanged my old microwave oven. what are the other offers? that's not good enough. i want the exchange offer. fine, but i'm not happy about it. alright, i'll do that. no, that's all. you too. goodbye.",negative
"hi sarah, i am calling to inquire about my recent return request for a sandwich maker. they mentioned that the product was damaged and not eligible for a refund or repair. however, i did not receive the product in that condition, and it stopped working after a few uses. i appreciate your understanding, sarah. however, i would like to have the product repaired or replaced instead of a partial refund. i suppose that's better than nothing. can you please provide me with the details of the replacement process? thank you for your help, sarah. i appreciate your effort to resolve the issue. alright, i will. thank you again, sarah. have a good day!",negative
"hi john, my name is mark. i placed an order for a sandwich maker, and i need it urgently. can you tell me if there's any faster delivery option available? what do you mean? i need the sandwich maker urgently. i can't wait for the regular delivery time. okay, please tell me what i can do. that sounds like a good idea. how do i find the nearest store? alright, i'll do that. is there any other option? yes, please give me the details. okay, i'll do that. but i'm still disappointed that i can't get the sandwich maker delivered faster. no, that's all. thank you for your help, john. thank you, john. goodbye.",negative
"hi sarah, i recently purchased a washing machine from brownbox and i'm having trouble logging in with my mobile number on the mobile app. can you help me with that? sure, it's 9876543210. yes, i'm sure i used the same number. can you check again? okay, i'll try that. can you guide me on how to do it? okay, i'll try that. thank you for your help. no, that's all for now. thank you again for your assistance.",neutral
"hi sarah, i placed an order for a backpack a week ago, and it still hasn't been shipped. the order status says approved, but i haven't received any updates on the shipping. yes, it's 789012. what is causing the delay, sarah? i need the backpack for my upcoming trip. okay, i'll hold. finally some good news, sarah. but i'm disappointed with the delay. i need the backpack for my trip, and i relied on your website's delivery timeline. that's a good gesture, sarah. thank you for your assistance. no, that's all for now. thank you again. i appreciate your assistance, sarah. have a nice day.",negative
"hi lisa, i recently purchased a backpack from brownbox, and i want to know about the pickup process. yes, i won't be available to receive the delivery, so i want to know if i can pick it up from the nearest brownbox store. yes, please. can you guide me through the process? okay, got it. how long will it take for my order to arrive at the warehouse? sounds good. thank you for your help, lisa. no, that's it. thank you for your help. thank you, bye.",neutral
"hi sarah, i recently purchased a vacuum cleaner from your website, and i received an email stating that i need to ship the item back to you. can you tell me why i need to ship it back? sure, my order number is 123456, and i purchased it last week. oh, i see. can you tell me how to proceed with the return process? my shipping address is 456 main street, anytown, usa. no, that's all. thank you for your help.",neutral
"hi, i'm calling about my order. i was supposed to receive a printer yesterday, but i haven't received it yet. i'm extremely frustrated with your company. my order number is 123456789, and my email address is johndoe@email.com. how could this happen? i needed the printer for an important meeting today. this is unacceptable. fine, but please hurry. i don't have all day. this is ridiculous. i can't believe this is happening. what am i supposed to do now? no, i just want my printer. this is unacceptable. fine, whatever. just let me know when my package will arrive. whatever. *click*",negative
"hi, sarah. i need to return a shirt that i purchased from your website. the shirt doesn't fit me well, and i want to exchange it for a different size. okay. can you guide me through the process? okay. and how long will it take to process the exchange? alright. and do i need to pay for the return shipping? okay. thank you for your help, sarah. no, that's all for now. you too. goodbye!",neutral
"hi john, i am calling about a billing discrepancy on my recent purchase of an inverter. i was overcharged on my invoice, and i need it rectified. 24 hours? that's unacceptable. i need this issue to be resolved immediately. alright, i'll wait for their call. but i want to know what steps you will take to ensure that this doesn't happen again. okay, i hope you're right. but i'm still not satisfied with the service provided. can i speak to your supervisor? yes, i was overcharged on my invoice, and i need it rectified immediately. okay, that sounds better. thank you for your help, david. no, that's all. thank you for your assistance. you too. goodbye!",negative
"hi, i recently received a tablet that i want to return. i was wondering if there are any faster delivery options available for the return process, like same day or in-a-day delivery. okay, what are the available shipping options? alright, i think i'll go with the expedited shipping option. how can i request that? okay, that sounds good. thank you for your help. no, that's all. thank you. thank you, you too. goodbye!",neutral
"hi john, i have a problem with my order. i ordered a sweatshirt last week, and it was out for delivery yesterday, but i haven't received it yet. sure, it's 987654. this is ridiculous. i paid for express delivery, and now i have to wait for my package. i need the sweatshirt for an event tomorrow. when will i receive my package? alright. i hope i receive it today. no, that's all. i just hope i receive my package soon. you too. goodbye.",negative
"hi sarah, i would like to know about the return process for the tablet i purchased from your website. yes, it's 789012. i received the tablet, but it's not working correctly. i want to return it and get a replacement. how long will it take to receive the replacement? okay, that sounds reasonable. can you help me initiate the return request? yes, my email address is johndoe@email.com, and my phone number is 555-123-4567. no, that's all. thank you for your help.",neutral
"hi john, i recently returned an external hard disk, and i was wondering if you could help me check the status of my refund. no, i haven't received it yet. okay, thank you for your help. is there anything else i need to do? no, that's all. thank you for your help, john. thank you, you too. goodbye!",neutral
"hi john, i am trying to log in with my mobile number on the mobile app for an electric cooker, but i am unable to do so. yes, i have. sure. it says, ""invalid mobile number or password."" okay, i will try that. i tried resetting my password, but i am still unable to log in. yes, please. that would be great. hi lisa, i am trying to log in with my mobile number on the mobile app for an electric cooker, but i am unable to do so. yes, i have. sure. it says, ""invalid mobile number or password."" okay, i will try that. i tried resetting my password, but i am still unable to log in. sure, my mobile number is 1234567890, and my email address is johndoe@gmail.com. no, that's all for now. thank you for your help, lisa. thank you. you too. goodbye!",neutral
"hi, i have a question about a hidden charge for a juicer/mixer/grinder that i purchased from brownbox. i was looking at my credit card statement, and i noticed an additional charge for the juicer/mixer/grinder that i purchased from brownbox. i wasn't informed about any hidden charges during the purchase. sure, take your time. shipping? but i thought shipping was free for my purchase. oh, i see. i wish i had known about this before. no, that's all. thank you for explaining the situation to me, sarah. thank you, sarah. you too. goodbye.",neutral
"hi lisa, i recently placed an order for a speaker, and i was wondering what the delivery process would be like. that's great. can you tell me more about the delivery process? will i be notified when my package is shipped, and how can i track the delivery? okay, that sounds easy enough. what if i'm not available to receive the package when it arrives? okay, that's good to know. thank you for your help, lisa. no, that's all for now. thank you again.",neutral
"hi rachel, i was browsing your website for a pair of shoes, and i noticed that the one i want is currently out of stock. can i still order it? yes, it's the adidas ultraboost 21 in black, item number 123456. yes, please. i really want a pair of comfortable running shoes. yes, that sounds good. can you tell me when the adidas ultraboost 21 will be back in stock? okay, i'll do that. thank you for your help. no, that's all. thank you for helping me find an alternative pair of shoes. you too. goodbye.",neutral
"hi, i'm calling because i haven't received my refund for a mobile i returned for cash on delivery. i returned it on august 10th, 2021. yes, the bank account details i provided were correct. i need the refund urgently. can you please expedite the process? no, that's all. i hope the refund issue gets resolved soon. thank you, you too. goodbye.",negative
"hi jane, i have a question about the warranty for my dishwasher. i can't seem to remember the details, and i need to know if it's still covered. the model number is 1234, and i purchased it about two years ago. that's great news! can you tell me what's covered under the warranty? okay, that's good to know. what do i need to do if i need to make a claim under the warranty? okay, that sounds easy enough. thanks for your help, jane. no, that's all for now. thanks again.",neutral
"hi sarah, i'm calling about my order for a juicer/mixer/grinder. it was supposed to be delivered yesterday, but it hasn't arrived yet. this is ridiculous. i needed it for a party last night, and now it's already ruined. this is unacceptable. i paid for the delivery, and it's not my problem if there's traffic. what do you mean by as soon as possible? i need it today. yes, i need the juicer/mixer/grinder urgently. please expedite the delivery. finally, some good news. thank you for your help, sarah. no, that's all for now. thanks, you too. goodbye.",negative
"hi lily, i am trying to order a ceiling fan, but it's showing as unavailable for shipping at my location. i am frustrated as i have been trying to place the order for the last two days. i don't have an order number. my email address is johndoe@gmail.com. okay, i'll hold. two weeks? that's too long. i need it urgently. okay, let's check. okay, that's fine. but i'm disappointed that i couldn't get the ceiling fan i wanted. no, that's all. thank you for your help. goodbye.",negative
"hi, i purchased a smart watch from your website a few months ago, but i can't seem to remember the warranty details. can you help me with that? no, not really. i just wanted to know the details in case i need to use the warranty in the future. okay, let me try that. oh, i don't seem to remember my login details. alright, i'll try that. thank you for your help! you too, goodbye!",neutral
"hi jane, i recently purchased a water purifier from your website, but i want to return it. can you guide me through the process? the product is not suitable for my needs, and i want a refund. yes, i have used it for a week. that's fine. when can i expect the refund? alright, that sounds good. can you initiate the return process now? yes, it's 123456789. okay, thank you for your help. no, that's all. thank you.",neutral
"hi, i'm calling about an order i placed for a sweatshirt that i haven't received yet. okay, i'll hold. i want the sweatshirt, so please reschedule the delivery. yes, i'm available on weekdays after 5 pm. no, that's all. but i'm disappointed with the delivery service. i expected better from brownbox. no, that's all. thank you for your help. thank you, you too. goodbye!",negative
"hi, i am trying to buy a backpack from your website, but it says it's not available in my country. why is that? my name is alex, and my email address is alex123@gmail.com. the product name is brownbox backpack, and i am trying to ship it to australia. that's ridiculous! why can't you guys ship to australia? i really need that backpack. this is unacceptable. i need that backpack for my upcoming trip. can you do something about it? fine, what are the options? ugh, fine. send me the links. no, that's all. this was a waste of my time. whatever. goodbye.",negative
"hi rachel, i need help changing the email id linked to my bp monitor order. it's johndoe@email.com. yes, it's 1234567890. i didn't receive any verification code. okay, i received the code. it's 1234. it's johndoe2@email.com. thank you, rachel. that was quick and easy. no, that's all for now. thanks for your help. you too, rachel. goodbye.",neutral
"hi sarah, i have a problem with the dishwasher i received from your company. i want to return it and get a replacement. the dishwasher stopped working after a few uses. i want to return it and get a replacement. i don't want a refund. i want a replacement. can you please check again if there is any way to get a replacement? this is unacceptable. i need a replacement as soon as possible. can you please tell me how much the return fee will be? $50? that's ridiculous. i shouldn't be charged for something that's not my fault. the product was defective upon arrival. i shouldn't have to pay the return fee. okay, i'll send you the pictures right away. okay, thank you for your help, sarah. you too, sarah. goodbye!",negative
